SaleDate,CouncilArea,RealEstateAgent,RegionName,Suburb,AvgRoomSize,Bathrooms,Bedrooms,BuildingArea,BuildingToLandRatio,CarSpots,DistanceToCBD,LandSize,Latitude,Longitude,NeighbouringProperties,Postcode,PropertyAge,Rooms,YearBuilt,Price
2016-03-12,Yarra_City,Biggin,Northern_Metropolitan,Other,66.5,1.0,2.0,133.0,0.6584158415841584,1.0,2.5,202.0,-37.7996,144.9984,4019.0,3067.0,46.0,2.0,1970.0,1480000.0
2017-04-03,Yarra_City,Biggin,Northern_Metropolitan,Other,44.333333333333336,2.0,3.0,133.0,1.4148936170212767,1.0,2.5,94.0,-37.7969,144.9969,4019.0,3067.0,47.0,3.0,1970.0,850000.0
2016-04-06,Yarra_City,Nelson,Northern_Metropolitan,Other,35.5,1.0,3.0,142.0,1.1833333333333331,2.0,2.5,120.0,-37.8072,144.9941,4019.0,3067.0,2.0,4.0,2014.0,1600000.0
2016-07-05,Yarra_City,Jellis,Northern_Metropolitan,Other,66.5,1.0,2.0,133.0,0.7348066298342542,0.0,2.5,181.0,-37.8041,144.9953,4019.0,3067.0,46.0,2.0,1970.0,941000.0
2016-07-05,Yarra_City,Nelson,Northern_Metropolitan,Other,70.0,2.0,4.0,210.0,0.8571428571428571,0.0,2.5,245.0,-37.8024,144.9993,4019.0,3067.0,106.0,3.0,1910.0,1876000.0
2016-08-10,Yarra_City,Jellis,Northern_Metropolitan,Other,44.333333333333336,1.0,3.0,133.0,0.259765625,2.0,2.5,512.0,-37.80046,145.0032,4019.0,3067.0,46.0,3.0,1970.0,1000000.0
2016-08-10,Yarra_City,Jellis,Northern_Metropolitan,Other,66.5,1.0,3.0,133.0,0.259765625,2.0,2.5,512.0,-37.80046,145.0032,4019.0,3067.0,46.0,2.0,1970.0,745000.0
2016-08-10,Yarra_City,Biggin,Northern_Metropolitan,Other,133.0,1.0,1.0,133.0,1.0,1.0,2.5,0.0,-37.8008,144.9973,4019.0,3067.0,46.0,1.0,1970.0,300000.0
2016-08-10,Yarra_City,Other,Northern_Metropolitan,Other,66.5,1.0,3.0,133.0,0.259765625,2.0,2.5,512.0,-37.80046,145.0032,4019.0,3067.0,46.0,2.0,1970.0,542000.0
2016-10-12,Yarra_City,Biggin,Northern_Metropolitan,Other,66.5,1.0,3.0,133.0,0.259765625,2.0,2.5,512.0,-37.80046,145.0032,4019.0,3067.0,46.0,2.0,1970.0,760000.0
2016-10-12,Yarra_City,Other,Northern_Metropolitan,Other,133.0,1.0,3.0,133.0,0.259765625,2.0,2.5,512.0,-37.80046,145.0032,4019.0,3067.0,46.0,1.0,1970.0,481000.0
2016-12-11,Yarra_City,Jellis,Northern_Metropolitan,Other,66.5,2.0,2.0,133.0,1.0,1.0,2.5,0.0,-37.811,145.0067,4019.0,3067.0,46.0,2.0,1970.0,700000.0
2016-12-11,Yarra_City,Nelson,Northern_Metropolitan,Other,63.333333333333336,2.0,3.0,190.0,0.8878504672897196,2.0,2.5,214.0,-37.8085,144.9964,4019.0,3067.0,11.0,3.0,2005.0,1350000.0
